"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","projectId","basisOfRecord","individualCount","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","isInCluster","datasetName","recordedBy","identifiedBy","nucleotideSequence","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","http...unknown.org.localId","identifier.1","habitat","verbatimEventDate","http...unknown.org.crawl_attempt","locality","gbifID","language","collectionCode","occurrenceID","type","catalogNumber","institutionCode","name","elevation","elevationAccuracy","depth","depthAccuracy","modified","collectionKey","preparations","rightsHolder","institutionID","municipality","disposition","ownerInstitutionCode","occurrenceRemarks","collectionID","networkKeys","datasetID","otherCatalogNumbers","recordNumber","taxonID","identificationID","gadm","http...unknown.org.dateLastUpdated","http...unknown.org.declaredCount","http...unknown.org.code","http...unknown.org.conceptualSchema","http...unknown.org.maxSearchResponseRecords","nomenclaturalCode","identificationRemarks","previousIdentifications","locationID","dateIdentified"
"3713857601","Narcissus tortifolius Fern.Casas",37.14,-2.06,"cdc,gass84,mdativ,osiic,incomis,inmafu","83504144-f762-11e1-a439-00145eb45e9a","c1564d80-1b9d-471c-b84d-8d5dd2efbf0a","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.938+00:00","2026-04-24T07:24:31.588+00:00",344,"HUAL","PRESERVED_SPECIMEN",1,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",707,"EUROPE","ALMERíA",2020,2,4,"2020-02-04",35,35,"2026-04-24T07:24:31.588+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2F4B5BA1-AD1C-4FB1-848C-074778E14416","none","none","a8343e51-cda3-4e7a-9eb6-4431f432fde4",FALSE,"Herbario de la Universidad de Almería","F.J. Pérez-García.","F.J. Pérez-García.","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","HUAL","2F4B5BA1-AD1C-4FB1-848C-074778E14416","Matorral ralo sobre sustrato yesoso.","04/02/2020","350","Levante Almeriense. Pr. Los Castaños.","3713857601","es","HUAL","2F4B5BA1-AD1C-4FB1-848C-074778E14416","PhysicalObject","27449-1","JP","Narcissus tortifolius Fern.Casas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3855063386","Narcissus tortifolius Fern.Casas",37.12,-2.04,"cdc,gass84,osiic","6a7575fa-ae03-4ba3-b322-2da15b5033e2","d68c4230-a271-11d8-a9b3-b8a03c50a862","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T19:28:29.248+00:00","2026-04-24T04:38:48.067+00:00",394,NA,"PRESERVED_SPECIMEN",1,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",707,"EUROPE","Almería",2017,2,9,"2017-02-09",40,40,"2026-04-24T04:38:48.067+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"9668135F-407C-4304-9530-6D9126BC90C2","none","none","a46ced27-ecc3-43df-981f-d6de329f50b4",FALSE,"Herbario de la Universidad de Granada: Colección GDA-Fanerogamia","J. Fuentes, G. Blanca y M. Cueto","Fuentes, J.","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"9668135F-407C-4304-9530-6D9126BC90C2","matorrales en sustratos yesíferos","09/02/2017","400","Los Yesares","3855063386","es","GDA-Fanero","9668135F-407C-4304-9530-6D9126BC90C2","PhysicalObject","64157-1","GDA","Narcissus tortifolius Fern.Casas",415,0,0,0,"2022-06-24T10:36:01.000+00:00","82d87a2a-f701-46ca-a1c0-292e83fc790a","Pliego","Herbarium University of Granada, Spain","https://www.gbif.org/grscicoll/institution/a46ced27-ecc3-43df-981f-d6de329f50b4","Sorbas","in collection","GDA","Nota: abundante.","https://www.gbif.org/grscicoll/collection/82d87a2a-f701-46ca-a1c0-292e83fc790a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713857710","Narcissus tortifolius Fern.Casas",37.18,-1.96,"cdc,gass84,mdativ,osiic,incomis,inmafu","83504144-f762-11e1-a439-00145eb45e9a","c1564d80-1b9d-471c-b84d-8d5dd2efbf0a","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.938+00:00","2026-04-24T07:24:39.246+00:00",344,"HUAL","PRESERVED_SPECIMEN",1,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",707,"EUROPE","ALMERíA",2012,1,1,"2012-01-01",1,1,"2026-04-24T07:24:39.246+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"943F16E5-5A82-41CF-83A8-0A64D969AF3E","none","none","a8343e51-cda3-4e7a-9eb6-4431f432fde4",FALSE,"Herbario de la Universidad de Almería","A. Lahora Cano","A. Lahora Cano","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","HUAL","943F16E5-5A82-41CF-83A8-0A64D969AF3E","Litosoles calizos.","01/01/2012","350","El Pinar.","3713857710","es","HUAL","943F16E5-5A82-41CF-83A8-0A64D969AF3E","PhysicalObject","26893-1","JP","Narcissus tortifolius Fern.Casas",350,0,NA,NA,NA,NA,NA,NA,NA,"Bédar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936681507","Narcissus tortifolius Fern.Casas",37.5806,-1.2144,"cdc,gass84,inmano","834c9918-f762-11e1-a439-00145eb45e9a","0363cbd4-f666-455e-8e86-0bbddcf51950","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:27.366+00:00","2026-04-24T05:20:44.260+00:00",423,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Murcia",2008,3,22,"2008-03-22",82,82,"2026-04-24T05:20:44.260+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"5fe7eff9-20fe-11e3-9e2e-000c29035824","none","none",NA,FALSE,NA,"C. Aedo & J. Pedrol",NA,"none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MA","5fe7eff9-20fe-11e3-9e2e-000c29035824","Habitat: herbazal de Stipa sobre calizas","22032008","429","Mazarrón, Isla Plana","1936681507","es","MA","5fe7eff9-20fe-11e3-9e2e-000c29035824","Collection","MA-01-00764364","MA","Narcissus tortifolius Fern.Casas",NA,NA,NA,NA,NA,NA,NA,NA,"0363cbd4-f666-455e-8e86-0bbddcf51950",NA,NA,"MA",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","834c9918-f762-11e1-a439-00145eb45e9a","MA-764364-1","15518","2858471","cbdee9a2-20fe-11e3-9e2e-000c29035824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318117328","Narcissus tortifolius Fern.Casas",37.18,-1.95,"cdc,gass84,osiic,colmafu,inmafu","835852b2-f762-11e1-a439-00145eb45e9a","30b36805-4849-4abb-a39c-01b3a7fa3f2e","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:27.890+00:00","2026-04-24T04:49:29.610+00:00",354,NA,"PRESERVED_SPECIMEN",1,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",707,"EUROPE","Almeria",2006,2,4,"2006-02-04",35,35,"2026-04-24T04:49:29.610+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"62030A44-14A5-4506-8AA4-07A435EAD2E1","none","none","8aa53465-012a-4394-bc5a-5f99beee1ce7",FALSE,NA,"F.Alcaraz, A.Lahora & S.Ríos",NA,"none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","ABH","62030A44-14A5-4506-8AA4-07A435EAD2E1",NA,"04022006","360","Bédar; ctra. a Los Gallardos","318117328",NA,"ABH","62030A44-14A5-4506-8AA4-07A435EAD2E1",NA,"50398-1","ABH","Narcissus tortifolius Fern.Casas",NA,NA,NA,NA,"2016-09-28T09:55:17.000+00:00","189e886d-b24c-4f29-8ee3-3827e567e7df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232590466","Narcissus tortifolius Fern.Casas",37.61,-1.11,"cdc,gass84,cdpi,colmano,inmafu","96b9eec4-f762-11e1-a439-00145eb45e9a","eba6daa8-0281-479e-aa2d-d78a2614db93","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T22:02:24.702+00:00","2026-04-24T08:46:53.023+00:00",360,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Mu",2006,3,13,"2006-03-13",72,72,"2026-04-24T08:46:53.023+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"232590466","none","none","0d3bc86d-03b3-4475-b018-67c8c79d97cd",FALSE,NA,"C. López, J. A. López & J. B. Vera","P. Sánchez-Gómez","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MUB",NA,NA,NA,"366","Cartagena; Los Ruices","232590466",NA,"SURESTE","232590466",NA,"110536-1","MUB","Narcissus tortifolius Fern.Casas",320,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936693017","Narcissus tortifolius Fern.Casas",37.0905,-2.0832,"cdc,gass84,inmano","834c9918-f762-11e1-a439-00145eb45e9a","0363cbd4-f666-455e-8e86-0bbddcf51950","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:27.366+00:00","2026-04-24T05:20:45.775+00:00",423,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Almería",2006,5,4,"2006-05-04",124,124,"2026-04-24T05:20:45.775+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"609ff9e1-20fe-11e3-9e2e-000c29035824","none","none",NA,FALSE,NA,"Pablo Vargas",NA,"none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MA","609ff9e1-20fe-11e3-9e2e-000c29035824","Habitat: margas yesiferas y conglomerados","04052006","429","Sorbas, Los Molinos del río Aguas, cruce con carretera a la cantera de yesos","1936693017","es","MA","609ff9e1-20fe-11e3-9e2e-000c29035824","Collection","MA-01-00775721","MA","Narcissus tortifolius Fern.Casas",NA,NA,NA,NA,NA,NA,NA,NA,"0363cbd4-f666-455e-8e86-0bbddcf51950",NA,NA,"MA",NA,NA,"17abcf75-2f1e-46dd-bf75-a5b21dd02655","834c9918-f762-11e1-a439-00145eb45e9a","MA-775721-1","70PV06","2858471","ccbc1e0e-20fe-11e3-9e2e-000c29035824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713853957","Narcissus tortifolius Fern.Casas",37.5,-2.48,"cdc,gass84,mdativ,osiic,incomis,inmafu","83504144-f762-11e1-a439-00145eb45e9a","c1564d80-1b9d-471c-b84d-8d5dd2efbf0a","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.938+00:00","2026-04-24T07:24:30.323+00:00",344,"HUAL","PRESERVED_SPECIMEN",1,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",707,"EUROPE","ALMERíA",2005,4,6,"2005-04-06",96,96,"2026-04-24T07:24:30.323+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"6D60412E-8FE1-4BB1-9C81-6ECE5D69FACD","none","none","a8343e51-cda3-4e7a-9eb6-4431f432fde4",FALSE,"Herbario de la Universidad de Almería","A.J. Sola & A. Mendoza","A.J. Sola","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","HUAL","6D60412E-8FE1-4BB1-9C81-6ECE5D69FACD","matorral aclarado de cistáceas y palmito, presencia de otros geófitos (Lapiedra martinezii Lag.)","06/04/2005","350","Sª de Cabrera, La Mezquita","3713853957","es","HUAL","6D60412E-8FE1-4BB1-9C81-6ECE5D69FACD","PhysicalObject","12124-1","JP","Narcissus tortifolius Fern.Casas",782,0,NA,NA,NA,NA,"Pliego",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211647571","Narcissus tortifolius Fern.Casas",37.61,-1.21,"cdc,gass84,cdpi,colmano,inmafu","96b9eec4-f762-11e1-a439-00145eb45e9a","eba6daa8-0281-479e-aa2d-d78a2614db93","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T22:02:24.702+00:00","2026-04-24T08:46:56.990+00:00",360,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Mu",2002,2,20,"2002-02-20",51,51,"2026-04-24T08:46:56.990+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211647571","none","none","0d3bc86d-03b3-4475-b018-67c8c79d97cd",FALSE,NA,"A. Hernández & C. Ohl","P. Sánchez-Gómez","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MUB",NA,NA,NA,"366","Mazarron; Sierra del Algarrobo, El Lomachón","211647571",NA,"SURESTE","211647571",NA,"100845-1","MUB","Narcissus tortifolius Fern.Casas",430,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211647572","Narcissus tortifolius Fern.Casas",37.61,-1.21,"cdc,gass84,cdpi,colmano,inmafu","96b9eec4-f762-11e1-a439-00145eb45e9a","eba6daa8-0281-479e-aa2d-d78a2614db93","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T22:02:24.702+00:00","2026-04-24T08:46:57.150+00:00",360,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Mu",2002,2,20,"2002-02-20",51,51,"2026-04-24T08:46:57.150+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211647572","none","none","0d3bc86d-03b3-4475-b018-67c8c79d97cd",FALSE,NA,"A. Hernández & C. Ohl","P. Sánchez-Gómez","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MUB",NA,NA,NA,"366","Mazarron; Sierra del Algarrobo, El Lomachón","211647572",NA,"SURESTE","211647572",NA,"100846-1","MUB","Narcissus tortifolius Fern.Casas",430,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211647573","Narcissus tortifolius Fern.Casas",37.61,-1.21,"cdc,gass84,cdpi,colmano,inmafu","96b9eec4-f762-11e1-a439-00145eb45e9a","eba6daa8-0281-479e-aa2d-d78a2614db93","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T22:02:24.702+00:00","2026-04-24T08:46:55.474+00:00",360,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Mu",2002,2,20,"2002-02-20",51,51,"2026-04-24T08:46:55.474+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211647573","none","none","0d3bc86d-03b3-4475-b018-67c8c79d97cd",FALSE,NA,"A. Hernández & C. Ohl","P. Sánchez-Gómez","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MUB",NA,NA,NA,"366","Mazarron; Sierra del Algarrobo, El Lomachón","211647573",NA,"SURESTE","211647573",NA,"100847-1","MUB","Narcissus tortifolius Fern.Casas",430,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211647570","Narcissus tortifolius Fern.Casas",37.51,-1.11,"cdc,gass84,cdpi,colmano,inmafu","96b9eec4-f762-11e1-a439-00145eb45e9a","eba6daa8-0281-479e-aa2d-d78a2614db93","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T22:02:24.702+00:00","2026-04-24T08:46:53.555+00:00",360,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Mu",2002,3,18,"2002-03-18",77,77,"2026-04-24T08:46:53.555+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211647570","none","none","0d3bc86d-03b3-4475-b018-67c8c79d97cd",FALSE,NA,"J. A. López","P. Sánchez-Gómez","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MUB",NA,NA,NA,"366","Mazarron; Cueva del Agua, Isla Plana","211647570",NA,"SURESTE","211647570",NA,"100844-1","MUB","Narcissus tortifolius Fern.Casas",10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211648475","Narcissus tortifolius Fern.Casas",37.51,-1.11,"cdc,gass84,cdpi,colmano,inmafu","96b9eec4-f762-11e1-a439-00145eb45e9a","eba6daa8-0281-479e-aa2d-d78a2614db93","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T22:02:24.702+00:00","2026-04-24T08:46:55.384+00:00",360,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Mu",2001,1,7,"2001-01-07",7,7,"2026-04-24T08:46:55.384+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211648475","none","none","0d3bc86d-03b3-4475-b018-67c8c79d97cd",FALSE,NA,"J. A. López","P. Sánchez-Gómez","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MUB",NA,NA,NA,"366","Cartagena; Del Campillo a La Azohía","211648475",NA,"SURESTE","211648475",NA,"49763-1","MUB","Narcissus tortifolius Fern.Casas",20,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211648482","Narcissus tortifolius Fern.Casas",37.71,-1.11,"cdc,gass84,cdpi,colmano,inmafu","96b9eec4-f762-11e1-a439-00145eb45e9a","eba6daa8-0281-479e-aa2d-d78a2614db93","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T22:02:24.702+00:00","2026-04-24T08:46:57.671+00:00",360,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Mu",2000,1,27,"2000-01-27",27,27,"2026-04-24T08:46:57.671+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211648482","none","none","0d3bc86d-03b3-4475-b018-67c8c79d97cd",FALSE,NA,"P. Sánchez-Gómez, M. A. Carrión, A. F. Carrillo & G. Rabal","P. Sánchez-Gómez","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MUB",NA,NA,NA,"366","Cartagena; Entre Rambla de Fuente Alamo y carretera Fuente Alamo-La Aljorra.","211648482",NA,"SURESTE","211648482",NA,"49770-1","MUB","Narcissus tortifolius Fern.Casas",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211648483","Narcissus tortifolius Fern.Casas",37.71,-1.11,"cdc,gass84,cdpi,colmano,inmafu","96b9eec4-f762-11e1-a439-00145eb45e9a","eba6daa8-0281-479e-aa2d-d78a2614db93","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T22:02:24.702+00:00","2026-04-24T08:46:56.942+00:00",360,NA,"PRESERVED_SPECIMEN",NA,"PRESENT",2858471,6,7707728,196,1169,7682,2858200,2858471,2858471,"Narcissus tortifolius Fern.Casas","Plantae","Tracheophyta","Asparagales","Amaryllidaceae","Narcissus","Narcissus tortifolius","Narcissus","tortifolius","SPECIES","ACCEPTED",NA,"EUROPE","Mu",2000,1,27,"2000-01-27",27,27,"2026-04-24T08:46:56.942+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"211648483","none","none","0d3bc86d-03b3-4475-b018-67c8c79d97cd",FALSE,NA,"P. Sánchez-Gómez, M. A. Carrión, A. F. Carrillo & G. Rabal","P. Sánchez-Gómez","none","WGS84","Liliopsida","ES","none","none","EUROPE","Spain","EUROPE","MUB",NA,NA,NA,"366","Cartagena; Entre Rambla de Fuente Alamo y carretera Fuente Alamo-La Aljorra.","211648483",NA,"SURESTE","211648483",NA,"49771-1","MUB","Narcissus tortifolius Fern.Casas",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
