"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","coordinateUncertaintyInMeters","elevation","elevationAccuracy","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","recordedBy","preparations","nucleotideSequence","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","http...unknown.org.localId","identifier.1","institutionID","verbatimEventDate","http...unknown.org.crawl_attempt","locality","municipality","gbifID","language","collectionCode","occurrenceID","type","disposition","catalogNumber","institutionCode","reproductiveCondition","name","projectId","individualCount","identifiedBy","habitat","recordNumber","fieldNumber","depth","depthAccuracy","rightsHolder","ownerInstitutionCode","collectionID","networkKeys","higherGeography","recordedByIDs.type","recordedByIDs.value","http...unknown.org.declaredCount","higherClassification","occurrenceRemarks","dateIdentified","dynamicProperties","georeferencedBy","datasetID","county","verbatimCoordinateSystem","http...unknown.org.griddedDataset","taxonID","verbatimIdentification","acceptedNameUsageID","bibliographicCitation","nomenclaturalCode","accessRights","references","associatedSequences","taxonConceptID","http...unknown.org.datasetCategory.gbif.org","http...unknown.org.status","http...unknown.org.crawlerDwcaCacheTime","http...unknown.org.orphanEndpoint","locationID","otherCatalogNumbers","identificationID","previousIdentifications","fieldNotes","identificationRemarks","verbatimElevation","coordinatePrecision","http...unknown.org.conceptualSchema","islandGroup","island","gadm","http...unknown.org.dateLastUpdated","http...unknown.org.code","http...unknown.org.maxSearchResponseRecords","georeferenceRemarks","eventRemarks","distanceFromCentroidInMeters","verbatimLocality"
"1851017801","Helianthemum squamatum (L.) Pers.",41.62722,0.70083,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:01:01.688+00:00",369,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2016,5,20,"2016-05-20",141,141,"2018-09-17T10:53:18.000+00:00","2026-05-25T08:01:01.688+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2018-0003281","none","none","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",FALSE,NA,"Escobar García,P. 765/2016",NA,"none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE",NA,"2018-0003281",NA,NA,"369","España, [Aragón,] Zaragoza, Alfajarín, Barranco de la Virgen, 41,62732, -0,700958",NA,"1851017801",NA,"Herbarium W","https://w.jacq.org/W20180003281",NA,NA,"2018-0003281","W",NA,"Helianthemum squamatum (L.) Pers.",NA,NA,"Escobar García",NA,"765/2016",NA,NA,NA,NA,NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Aragón","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Cistaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851017597","Helianthemum squamatum (L.) Pers.",40.14472,-3.48194,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:01:01.456+00:00",369,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2016,6,4,"2016-06-04",156,156,"2018-09-17T10:53:02.000+00:00","2026-05-25T08:01:01.456+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2018-0003282","none","none","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",FALSE,NA,"Suárez de Venegas,J. & Escobar García,P. 1082/2016",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"2018-0003282",NA,NA,"369","España, [Madrid,] Madrid, Chinchón, Camino de los Altos de Casasola, 40,144813, -3,481898",NA,"1851017597",NA,"Herbarium W","https://w.jacq.org/W20180003282",NA,NA,"2018-0003282","W",NA,"Helianthemum squamatum (L.) Pers.",NA,NA,"Escobar García",NA,"1082/2016",NA,NA,NA,NA,NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Madrid",NA,NA,"391238","Cistaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1882653304","Helianthemum squamatum (L.) Pers.",40.14,-3.47056,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:00:50.501+00:00",369,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2016,6,24,"2016-06-24",176,176,"2018-10-01T10:48:51.000+00:00","2026-05-25T08:00:50.501+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2017-0012723","none","none","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",FALSE,NA,"Escobar García,P. 1495/2016",NA,"none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE",NA,"2017-0012723",NA,NA,"369","España, [Madrid,] Madrid, Chinchón, Camino de los Altos de Casasola, 40,139952, -3,470598",NA,"1882653304",NA,"Herbarium W","https://w.jacq.org/W20170012723",NA,NA,"2017-0012723","W",NA,"Helianthemum squamatum (L.) Pers.",NA,NA,"Escobar García",NA,"1495/2016",NA,NA,NA,NA,NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Madrid","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Cistaceae","Dupl. in NY.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1230852646","Helianthemum squamatum (L.) Pers.",40.14528,-3.48125,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:00:42.767+00:00",369,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2015,5,13,"2015-05-13",133,133,"2016-01-20T16:06:44.000+00:00","2026-05-25T08:00:42.767+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2015-0014159","none","none","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",FALSE,NA,"Escobar García,P. 424/2015",NA,"none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE",NA,"2015-0014159",NA,NA,"369","Spain, Madrid, Chinchón, 40,145309 N 3,481254 W",NA,"1230852646",NA,"Herbarium W","https://w.jacq.org/W20150014159",NA,NA,"2015-0014159","W",NA,"Helianthemum squamatum (L.) Pers.",NA,NA,"P. Escobar García",NA,"424/2015",NA,NA,NA,NA,NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Madrid","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Cistaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4529438347","Helianthemum squamatum (L.) Pers.",41.847565,0.892,"cdc,cdround,cdpi,inmano","a4b7c71e-fc73-434e-a008-d63c222179d0","7b4f2f30-a456-11d9-8049-b8a03c50a862","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T15:02:28.711+00:00","2026-04-24T02:24:15.227+00:00",415,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2015,5,8,"2015-05-08",128,128,"2024-01-08T00:00:00.000+00:00","2026-04-24T02:24:15.227+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"BDBC-C.2236.0.17552.10187","none","none",NA,NA,FALSE,"FloraCAT: Banco de datos de los cormófitos de Cataluña","Conesa, Font, Barnola i Sais, HGI-22640, * 3",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"BDBC-C.2236.0.17552.10187",NA,NA,"421","LA SENTIU DE SIÃ“, a lo Torricot; SENTIU DE SIÃ“, LA; La Noguera",NA,"4529438347","es","BDBC-Floracat","BDBC-C.2236.0.17552.10187","Dataset",NA,"HGI-22640","BDBC",NA,"Helianthemum squamatum (L.) Pers.","BDBC",NA,"Conesa, Font, Barnola i Sais",NA,NA,NA,NA,NA,"Generalitat de Catalunya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original","doi:10.15470/fzwiiu","Catalonia","UTM","{""percentNN"":0.9779,""countNN"":354,""distanceNN"":0.09}","C000953","Helianthemum squamatum","C000953","Herbari de l'Universitat de Girona. (2021). Plecs Herbari HGI. Herbari de Girona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701527151","Helianthemum squamatum (L.) Pers.",41.62556,-0.69889,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:00:45.981+00:00",369,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2013,4,22,"2013-04-22",112,112,"2018-05-16T14:36:10.000+00:00","2026-05-25T08:00:45.981+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2016-0003196","none","none","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",FALSE,NA,"Escobar García,P. & Schneeweiß,G.M. 323/13",NA,"none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE",NA,"2016-0003196",NA,NA,"369","Spain: Prov. Zaragoza. Alfajarín. Yesos blancos.",NA,"1701527151",NA,"Herbarium W","https://w.jacq.org/W20160003196",NA,NA,"2016-0003196","W",NA,"Helianthemum squamatum (L.) Pers.",NA,NA,"P. Escobar García",NA,"323/13",NA,NA,NA,NA,NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Aragón","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Cistaceae","""Medex 2013, 16 - 25. IV"" University of Vienna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3350942604","Helianthemum squamatum (L.) Pers.",37.09,-2.09,"cdc,gass84","d8cd16ba-bb74-4420-821e-083f2bac17c2","ada9d123-ddb4-467d-8891-806ea8d94230","17a83780-3060-4851-9d6f-029d5fcb81c9","fbca90e3-8aed-48b1-84e3-369afbd000ce","GB","EML","2026-05-23T12:05:10.714+00:00","2026-05-23T12:13:45.383+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,342,0,"EUROPE",NA,2011,3,25,"2011-03-25",84,84,NA,"2026-05-23T12:13:45.383+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"KX401566","none","none",NA,NA,FALSE,NA,"A Aparicio, RG Albaladejo, F Garcia & MA",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"KX401566",NA,NA,"276",NA,NA,"3350942604",NA,NA,"KX401566",NA,NA,"SEV286555",NA,NA,"Helianthemum squamatum (L.) Pers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helianthemum squamatum isolate squam46_3 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence.",NA,NA,NA,NA,NA,NA,NA,"ASV:3edc286d5f64cfb3edcb227be1b611da",NA,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/view/KX401566","https://www.ebi.ac.uk/ena/browser/api/embl/KX401566","https://www.ebi.ac.uk/ena/browser/view/Taxon:335158","eDNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3350971687","Helianthemum squamatum (L.) Pers.",37.09,-2.09,"cdc,gass84","d8cd16ba-bb74-4420-821e-083f2bac17c2","ada9d123-ddb4-467d-8891-806ea8d94230","17a83780-3060-4851-9d6f-029d5fcb81c9","fbca90e3-8aed-48b1-84e3-369afbd000ce","GB","EML","2026-05-23T12:05:10.714+00:00","2026-05-23T12:13:43.926+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,342,0,"EUROPE",NA,2011,3,25,"2011-03-25",84,84,NA,"2026-05-23T12:13:43.926+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"KX498717","none","none",NA,NA,FALSE,NA,"A Aparicio, RG Albaladejo, F Garcia & MA",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"KX498717",NA,NA,"276",NA,NA,"3350971687",NA,NA,"KX498717",NA,NA,"SEV:286555",NA,NA,"Helianthemum squamatum (L.) Pers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helianthemum squamatum voucher SEV:286555 trnL-trnF intergenic spacer, partial sequence plastid.",NA,NA,NA,NA,NA,NA,NA,"ASV:a4a38c41905dd0914f7124706cabcfea",NA,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/view/KX498717","https://www.ebi.ac.uk/ena/browser/api/embl/KX498717","https://www.ebi.ac.uk/ena/browser/view/Taxon:335158","eDNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3348256529","Helianthemum squamatum (L.) Pers.",38.58,-1.66,"cdc,gass84","d8cd16ba-bb74-4420-821e-083f2bac17c2","ada9d123-ddb4-467d-8891-806ea8d94230","17a83780-3060-4851-9d6f-029d5fcb81c9","fbca90e3-8aed-48b1-84e3-369afbd000ce","GB","EML","2026-05-23T12:05:10.714+00:00","2026-05-23T12:13:17.256+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,600,0,"EUROPE",NA,2011,5,18,"2011-05-18",138,138,NA,"2026-05-23T12:13:17.256+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"KX498468","none","none",NA,NA,FALSE,NA,"A Aparicio & RG Albaladejo",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"KX498468",NA,NA,"276",NA,NA,"3348256529",NA,NA,"KX498468",NA,NA,"SEV:286559",NA,NA,"Helianthemum squamatum (L.) Pers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helianthemum squamatum voucher SEV:286559 NADH dehydrogenase subunit F (ndhF) gene, partial cds plastid.",NA,NA,NA,NA,NA,NA,NA,"ASV:36ca6495a61be9220be02ed4eb740df3",NA,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/view/KX498468","https://www.ebi.ac.uk/ena/browser/api/embl/KX498468","https://www.ebi.ac.uk/ena/browser/view/Taxon:335158","eDNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3350962489","Helianthemum squamatum (L.) Pers.",38.58,-1.66,"cdc,gass84","d8cd16ba-bb74-4420-821e-083f2bac17c2","ada9d123-ddb4-467d-8891-806ea8d94230","17a83780-3060-4851-9d6f-029d5fcb81c9","fbca90e3-8aed-48b1-84e3-369afbd000ce","GB","EML","2026-05-23T12:05:10.714+00:00","2026-05-23T12:15:37.723+00:00",276,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,600,0,"EUROPE",NA,2011,5,18,"2011-05-18",138,138,NA,"2026-05-23T12:15:37.723+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"KX401567","none","none",NA,NA,FALSE,NA,"A Aparicio & RG Albaladejo",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"KX401567",NA,NA,"276",NA,NA,"3350962489",NA,NA,"KX401567",NA,NA,"SEV286559",NA,NA,"Helianthemum squamatum (L.) Pers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helianthemum squamatum isolate squam57_1 small subunit ribosomal RNA gene, partial sequence internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence.",NA,NA,NA,NA,NA,NA,NA,"ASV:8d580e218731da3403ce998ad9143543",NA,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/view/KX401567","https://www.ebi.ac.uk/ena/browser/api/embl/KX401567","https://www.ebi.ac.uk/ena/browser/view/Taxon:335158","eDNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4907379296","Helianthemum squamatum (L.) Pers.",40.31,-3.65,"cdc,gass84,colmafu,inmafu","835613da-f762-11e1-a439-00145eb45e9a","a7ae8a07-cb3f-42e6-8f4e-22868f8cdb27","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:25.210+00:00","2026-04-29T14:10:42.102+00:00",344,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",707,NA,NA,"EUROPE","Madrid",2008,4,12,"2008-04-12",103,103,"2021-04-09T13:25:58.000+00:00","2026-04-29T14:10:42.102+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"A2E90251-D1AB-4CC5-B927-45BDF0577A65","none","none","80a05c0a-8097-45ea-9554-004144d588a3","b33fcd4a-da2d-4e10-869a-6dfb9d6effc0",FALSE,"Herbario de la Facultad de Farmacia de la Universidad Complutense de Madrid (MAF)","S. Manzano",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","MAF","A2E90251-D1AB-4CC5-B927-45BDF0577A65",NA,"12/04/2008","350","Chinchón",NA,"4907379296","es","MAF","A2E90251-D1AB-4CC5-B927-45BDF0577A65","PhysicalObject",NA,"178702-1","MAF",NA,"Helianthemum squamatum (L.) Pers.","MAF",NA,"S. Manzano","cerros y baldíos sobre margas yesíferas, matorral con diversos Helianthemum y Ephedra fragilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701527212","Helianthemum squamatum (L.) Pers.",38.33369,-1.65722,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:00:59.782+00:00",369,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,271,NA,"EUROPE",NA,2008,5,28,"2008-05-28",149,149,"2016-11-09T09:16:53.000+00:00","2026-05-25T08:00:59.782+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2016-0002409","none","none","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",FALSE,NA,"Escobar García,P. 666/08",NA,"none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE",NA,"2016-0002409",NA,NA,"369","España, Albacete, Las Minas, Cañón de los Almadenes. Paredones calizos sobre, el río Mundo, aguas abajo de la Presa de Camarillas. 38°20’1,30“N 1°39’25,50“W",NA,"1701527212",NA,"Herbarium W","https://w.jacq.org/W20160002409",NA,NA,"2016-0002409","W",NA,"Helianthemum squamatum (L.) Pers.",NA,NA,"Escobar García",NA,"666/08",NA,NA,NA,NA,NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Castilla-La Mancha","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Cistaceae","Campaña de Muestreo Primavera 2008;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4454724039","Helianthemum squamatum (L.) Pers.",39.924,-3.685,"cdc,gass84,incomis,inmafu","bd2be1e9-f2fc-404a-8246-783af0055829","c8977993-5d56-4dbf-a27d-828e0ede7984","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T19:28:39.888+00:00","2026-04-24T09:22:35.939+00:00",394,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE","Toledo",2006,6,22,"2006-06-22T00:00Z",173,173,NA,"2026-04-24T09:22:35.939+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"767620388","none","none","f4336f4f-63f8-4db1-8b69-793c3ce4b95f",NA,FALSE,"Herbario del Jardín Botánico-Histórico La Concepción: HBC","F. Fdez-Glez, R. Pérez Badia, S. Sardinero et V. Bouso",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"767620388",NA,NA,"400","Yepes. Toledo",NA,"4454724039","es","HBC","767620388","Collection",NA,"HSBC-2899","HBC",NA,"Helianthemum squamatum (L.) Pers.",NA,NA,"F. Fdez-Glez, R. Pérez Badia, S. Sardinero et V. Bouso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
