"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","coordinateUncertaintyInMeters","elevation","elevationAccuracy","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","license","isSequenced","identifier","facts","relations","institutionKey","collectionKey","isInCluster","datasetName","recordedBy","preparations","nucleotideSequence","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","http...unknown.org.localId","identifier.1","institutionID","verbatimEventDate","http...unknown.org.crawl_attempt","locality","municipality","gbifID","language","collectionCode","occurrenceID","type","disposition","catalogNumber","institutionCode","reproductiveCondition","name","projectId","individualCount","identifiedBy","habitat","recordNumber","fieldNumber","depth","depthAccuracy","rightsHolder","ownerInstitutionCode","collectionID","networkKeys","higherGeography","recordedByIDs.type","recordedByIDs.value","http...unknown.org.declaredCount","higherClassification","occurrenceRemarks","dateIdentified","dynamicProperties","georeferencedBy","datasetID","county","verbatimCoordinateSystem","http...unknown.org.griddedDataset","taxonID","verbatimIdentification","acceptedNameUsageID","bibliographicCitation","nomenclaturalCode","accessRights","references","associatedSequences","taxonConceptID","http...unknown.org.datasetCategory.gbif.org","http...unknown.org.status","http...unknown.org.crawlerDwcaCacheTime","http...unknown.org.orphanEndpoint","locationID","otherCatalogNumbers","identificationID","previousIdentifications","fieldNotes","identificationRemarks","verbatimElevation","coordinatePrecision","http...unknown.org.conceptualSchema","islandGroup","island","gadm","http...unknown.org.dateLastUpdated","http...unknown.org.code","http...unknown.org.maxSearchResponseRecords","georeferenceRemarks","eventRemarks","distanceFromCentroidInMeters","verbatimLocality"
"2558261503","Helianthemum squamatum (L.) Dum.Cours.",39.35,-1.26,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:26:59.326+00:00",375,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",1,500,0,"EUROPE","València",2019,6,11,"2019-06-11",162,162,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:26:59.326+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"11F52253-39B8-4D89-9CE0-BEEE4B9855E7","none","none","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5",FALSE,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","P. P. Ferrer & I. Ferrando","Pliego","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","VAL","11F52253-39B8-4D89-9CE0-BEEE4B9855E7","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b","11/06/2019","391","Requena (Plana d´Utiel-Requena), Los Isidros, Las Salinas","Requena (Plana d´Utiel-Requena)","2558261503","es","VAL","11F52253-39B8-4D89-9CE0-BEEE4B9855E7","PhysicalObject","in collection","242302-1","VAL","in bloom","Helianthemum squamatum (L.) Dum.Cours.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713844401","Helianthemum squamatum (L.) Dum.Cours.",37.36,-1.74,"cdc,gass84,mdativ,osiic,incomis,inmafu","83504144-f762-11e1-a439-00145eb45e9a","c1564d80-1b9d-471c-b84d-8d5dd2efbf0a","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.938+00:00","2026-04-24T07:24:34.748+00:00",344,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",707,130,0,"EUROPE","ALMERíA",2019,6,19,"2019-06-19",170,170,NA,"2026-04-24T07:24:34.748+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"ADBE86CE-08F0-4E49-AC7C-9FDB8BA12195","none","none","a8343e51-cda3-4e7a-9eb6-4431f432fde4",NA,FALSE,"Herbario de la Universidad de Almería","J.F. Mota, F.J. Pérez-García, A.J. Mendoza-Fernández & F. Martínez-Hernández",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","HUAL","ADBE86CE-08F0-4E49-AC7C-9FDB8BA12195",NA,"19/06/2019","350","Levante almeriense, pr. Guazamara.",NA,"3713844401","es","HUAL","ADBE86CE-08F0-4E49-AC7C-9FDB8BA12195","PhysicalObject",NA,"26644-1","JP",NA,"Helianthemum squamatum (L.) Dum.Cours.","HUAL",1,"J.F. Mota & F.J. Pérez-García.","Matorral ralo sobre sustrato yesoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713865005","Helianthemum squamatum (L.) Dum.Cours.",37.36,-1.74,"cdc,gass84,mdativ,osiic,incomis,inmafu","83504144-f762-11e1-a439-00145eb45e9a","c1564d80-1b9d-471c-b84d-8d5dd2efbf0a","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.938+00:00","2026-04-24T07:24:39.535+00:00",344,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",707,150,0,"EUROPE","ALMERíA",2019,6,19,"2019-06-19",170,170,NA,"2026-04-24T07:24:39.535+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"7B152F8B-071D-4E94-B779-8B8FDE713790","none","none","a8343e51-cda3-4e7a-9eb6-4431f432fde4",NA,FALSE,"Herbario de la Universidad de Almería","J.F. Mota, F.J. Pérez-García, A.J. Mendoza-Fernández & F. Martínez-Hernández",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","HUAL","7B152F8B-071D-4E94-B779-8B8FDE713790",NA,"19/06/2019","350","Levante almeriense, pr. Cortijo de El Acife.",NA,"3713865005","es","HUAL","7B152F8B-071D-4E94-B779-8B8FDE713790","PhysicalObject",NA,"26643-1","JP",NA,"Helianthemum squamatum (L.) Dum.Cours.","HUAL",1,"J.F. Mota & F.J. Pérez-García.","Matorral ralo sobre sustrato yesoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713854607","Helianthemum squamatum (L.) Dum.Cours.",37.85,-1.97,"cdc,gass84,mdativ,osiic,incomis,inmafu","83504144-f762-11e1-a439-00145eb45e9a","c1564d80-1b9d-471c-b84d-8d5dd2efbf0a","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.938+00:00","2026-04-24T07:24:45.698+00:00",344,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",707,800,0,"EUROPE","Murcia",2018,4,17,"2018-04-17",107,107,NA,"2026-04-24T07:24:45.698+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"4B81CF79-2A7C-4FAE-AFC6-38CB6FA03338","none","none","a8343e51-cda3-4e7a-9eb6-4431f432fde4",NA,FALSE,"Herbario de la Universidad de Almería","J.F. Mota & A.J. Mendoza-Fernández.",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","HUAL","4B81CF79-2A7C-4FAE-AFC6-38CB6FA03338",NA,"17/04/2018","350","Entre el Valle de Guadalentín y Los Vélez. Pr. Corral Blanco.",NA,"3713854607","es","HUAL","4B81CF79-2A7C-4FAE-AFC6-38CB6FA03338","PhysicalObject",NA,"28046-1","JP",NA,"Helianthemum squamatum (L.) Dum.Cours.","HUAL",1,"J.F. Mota & A.J. Mendoza-Fernández.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558260167","Helianthemum squamatum (L.) Dum.Cours.",41.39,-0.09,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:06.591+00:00",375,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",707,340,0,"EUROPE","Zaragoza",2018,5,26,"2018-05-26",146,146,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:06.591+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"3302F185-1DDB-492A-944E-6E1F407A554F","none","none","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5",FALSE,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","R. Senar & P. Gumbau","Pliego","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","VAL","3302F185-1DDB-492A-944E-6E1F407A554F","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b","26/05/2018","391","Bujaraloz, Clota de la Gramenosa, marge E de la llacuna","Bujaraloz (Monegros)","2558260167","es","VAL","3302F185-1DDB-492A-944E-6E1F407A554F","PhysicalObject","in collection","240715-1","VAL","in bloom","Helianthemum squamatum (L.) Dum.Cours.",NA,NA,NA,"brolels i pastures xèriques d´algepsars","10517","10517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558258508","Helianthemum squamatum (L.) Dum.Cours.",41.36,-1.66,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:21.594+00:00",375,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",707,630,0,"EUROPE","Zaragoza",2018,6,17,"2018-06-17",168,168,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:21.594+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"BBD401F6-B565-41D4-9EAD-0F276CD23B27","none","none","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5",FALSE,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","G. Mateo, J.M. Pisco & A. Martínez","Pliego","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","VAL","BBD401F6-B565-41D4-9EAD-0F276CD23B27","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b","17/06/2018","391","Calatayud, las Balsas","Calatayud (Calatayud)","2558258508","es","VAL","BBD401F6-B565-41D4-9EAD-0F276CD23B27","PhysicalObject","in collection","238512-1","VAL",NA,"Helianthemum squamatum (L.) Dum.Cours.",NA,NA,NA,"yesares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3713855512","Helianthemum squamatum (L.) Dum.Cours.",37.67,-2.56,"cdc,gass84,mdativ,osiic,incomis,inmafu","83504144-f762-11e1-a439-00145eb45e9a","c1564d80-1b9d-471c-b84d-8d5dd2efbf0a","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.938+00:00","2026-04-24T07:24:48.127+00:00",344,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",707,920,0,"EUROPE","Granada",2018,6,14,"2018-06-14",165,165,NA,"2026-04-24T07:24:48.127+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"910420C1-A197-49EA-8BF6-3825716CF7CF","none","none","a8343e51-cda3-4e7a-9eb6-4431f432fde4",NA,FALSE,"Herbario de la Universidad de Almería","J.F. Mota & A.J. Mendoza-Fernández.",NA,"none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","HUAL","910420C1-A197-49EA-8BF6-3825716CF7CF",NA,"14/06/2018","350","Hoya de Baza. Cañada Honda.","Baza","3713855512","es","HUAL","910420C1-A197-49EA-8BF6-3825716CF7CF","PhysicalObject",NA,"28048-1","JP",NA,"Helianthemum squamatum (L.) Dum.Cours.","HUAL",1,"J.F. Mota & A.J. Mendoza-Fernández.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3855030512","Helianthemum squamatum (L.) Dum.Cours.",37.64,-2.61,"cdc,gass84,preneglon,osiic","6a7575fa-ae03-4ba3-b322-2da15b5033e2","d68c4230-a271-11d8-a9b3-b8a03c50a862","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-17T19:28:29.248+00:00","2026-04-24T04:39:53.840+00:00",394,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",NA,800,0,"EUROPE","Granada",2017,2,23,"2017-02-23",54,54,"2022-06-24T10:36:01.000+00:00","2026-04-24T04:39:53.840+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"07D4B695-7DAF-40BF-8FB4-09012CC3E25A","none","none","a46ced27-ecc3-43df-981f-d6de329f50b4","82d87a2a-f701-46ca-a1c0-292e83fc790a",FALSE,"Herbario de la Universidad de Granada: Colección GDA-Fanerogamia","G. Benítez, J. Molero Mesa & J.M. Marfil","Pliego","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE",NA,"07D4B695-7DAF-40BF-8FB4-09012CC3E25A","https://www.gbif.org/grscicoll/institution/a46ced27-ecc3-43df-981f-d6de329f50b4","23/02/2017","400","El Margen","Cúllar","3855030512","es","GDA-Fanero","07D4B695-7DAF-40BF-8FB4-09012CC3E25A","PhysicalObject","in collection","65152-1","GDA",NA,"Helianthemum squamatum (L.) Dum.Cours.",NA,1,"Benítez, G.",NA,NA,NA,0,0,"Herbarium University of Granada, Spain","GDA","https://www.gbif.org/grscicoll/collection/82d87a2a-f701-46ca-a1c0-292e83fc790a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558254976","Helianthemum squamatum (L.) Dum.Cours.",39.22,-1.09,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:07.206+00:00",375,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",707,460,0,"EUROPE","València",2017,5,23,"2017-05-23",143,143,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:07.206+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"2F9ECBE9-D34A-4A2A-8A29-BAB978218095","none","none","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5",FALSE,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","G. Mateo","Pliego","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","VAL","2F9ECBE9-D34A-4A2A-8A29-BAB978218095","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b","23/05/2017","391","Cofrentes (Vall de Cofrents), pr. Casas del bco. Tornero","Cofrentes (Vall de Cofrents-Aiora)","2558254976","es","VAL","2F9ECBE9-D34A-4A2A-8A29-BAB978218095","PhysicalObject","in collection","233737-1","VAL","in bloom","Helianthemum squamatum (L.) Dum.Cours.",NA,NA,NA,"terreno yesoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558257587","Helianthemum squamatum (L.) Dum.Cours.",41.14,-0.58,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:21.170+00:00",375,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",707,465,0,"EUROPE","Teruel",2017,5,21,"2017-05-21",141,141,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:21.170+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"D1B6C0FF-15D9-431F-83E5-01361D36E41D","none","none","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5",FALSE,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","R. Senar y P. Gumbau","Pliego","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","VAL","D1B6C0FF-15D9-431F-83E5-01361D36E41D","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b","21/05/2017","391","Albalate del Arzobispo, el Plano junt a la pedrera","Albalate del Arzobispo (Bajo Martín)","2558257587","es","VAL","D1B6C0FF-15D9-431F-83E5-01361D36E41D","PhysicalObject","in collection","236753-1","VAL",NA,"Helianthemum squamatum (L.) Dum.Cours.",NA,NA,"R. Senar","pastures xèriques sobre algepsars",NA,"SENAR/9081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851017801","Helianthemum squamatum (L.) Pers.",41.62722,0.70083,"cdc,colmafu,inmafu","7f5260c2-f762-11e1-a439-00145eb45e9a","4e11d750-bafb-11d9-8e53-b8a03c50a862","f0e191c4-2ef2-4e3d-9768-34d58d14ba2d","58520c30-bafb-11d9-8e53-b8a03c50a862","AT","BIOCASE","2026-05-25T07:55:44.657+00:00","2026-05-25T08:01:01.688+00:00",369,"PRESERVED_SPECIMEN","PRESENT",3595600,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","ACCEPTED",NA,NA,NA,"EUROPE",NA,2016,5,20,"2016-05-20",141,141,"2018-09-17T10:53:18.000+00:00","2026-05-25T08:01:01.688+00:00","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"2018-0003281","none","none","37a95137-fb12-4e75-b35c-ffc6e5af94f9","7dae0702-991d-47bb-95bd-1ed2738673be",FALSE,NA,"Escobar García,P. 765/2016",NA,"none","WGS84","Magnoliopsida","ES",NA,"none","EUROPE","Spain","EUROPE",NA,"2018-0003281",NA,NA,"369","España, [Aragón,] Zaragoza, Alfajarín, Barranco de la Virgen, 41,62732, -0,700958",NA,"1851017801",NA,"Herbarium W","https://w.jacq.org/W20180003281",NA,NA,"2018-0003281","W",NA,"Helianthemum squamatum (L.) Pers.",NA,NA,"Escobar García",NA,"765/2016",NA,NA,NA,NA,NA,NA,"80edc711-19b9-464c-a8b3-2cc15be80e26,17abcf75-2f1e-46dd-bf75-a5b21dd02655","Aragón","WIKIDATA","https://www.wikidata.org/entity/Q36650136","391238","Cistaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2558250813","Helianthemum squamatum (L.) Dum.Cours.",40.21,-0.12,"cdc,gass84,colmafu,inmafu","834a4794-f762-11e1-a439-00145eb45e9a","8209258a-80e8-4094-aba2-a3febe5ed45b","2a3f6a56-7591-4f05-8c4c-a1bb77aa4ea6","6c4a0bb0-2a4d-11d8-aa2d-b8a03c50a862","ES","EML","2026-04-18T01:37:24.691+00:00","2026-04-24T10:27:20.235+00:00",375,"PRESERVED_SPECIMEN","PRESENT",7951870,6,7707728,220,941,6635,2874068,3595600,3595600,"Helianthemum squamatum (L.) Pers.","Plantae","Tracheophyta","Malvales","Cistaceae","Helianthemum","Helianthemum squamatum","Helianthemum","squamatum","SPECIES","SYNONYM",7071,NA,NA,"EUROPE","Teruel",2016,5,22,"2016-05-22",143,143,"2025-11-03T14:20:45.000+00:00","2026-04-24T10:27:20.235+00:00","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"B2E14748-434C-4A7B-A3B1-6D361A7779B4","none","none","c645b060-c130-45ee-97ab-b9fc94393523","6ceb64b5-0201-4a27-bcdb-8d62035e35d5",FALSE,"Colección de plantas vasculares del herbario de la Universitat de València (VAL)","G. Mateo","Pliego","none","WGS84","Magnoliopsida","ES","none","none","EUROPE","Spain","EUROPE","VAL","B2E14748-434C-4A7B-A3B1-6D361A7779B4","https://www.gbif.org/publisher/8209258a-80e8-4094-aba2-a3febe5ed45b","22/05/2016","391","Alcañiz, límite con Zaragoza","Alcañiz (Bajo Aragón)","2558250813","es","VAL","B2E14748-434C-4A7B-A3B1-6D361A7779B4","PhysicalObject","in collection","230795-1","VAL",NA,"Helianthemum squamatum (L.) Dum.Cours.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
